id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
1	Tarjeta Uber 150	Tarjeta Uber 150 	https://s.id/MLM-1504604489-tarjeta-uber-150-_JM	224.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_739779-MLM51576929621_092022-O.jpg	00679628208206		Tarjeta Uber 150	merge
2	Tarjeta Uber 200	Tarjeta Uber 200 	https://s.id/MLM-1504604489-tarjeta-uber-200-_JM	269.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_739779-MLM51576929621_092022-O.jpg	00679628208213		Tarjeta Uber 200	merge
3	Tarjeta De Netflix 300 Pesos	Tarjeta De Netflix 300 Pesos 	https://s.id/MLM-1393565252-tarjeta-de-netflix-300-pesos-_JM	359.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_676151-MLM49398016305_032022-O.jpg	00679628208220		Tarjeta De Netflix 300 Pesos	merge
4	Tarjeta De Regalo Netflix $400	Tarjeta De Regalo Netflix $400 	https://s.id/MLM-1353059494-tarjeta-de-regalo-netflix-400-_JM	449.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_864934-MLM48483775732_122021-O.jpg	00679628208237		Netflix	merge
5	Tarjeta De Regalo Netflix $500	Tarjeta De Regalo Netflix $500 	https://s.id/MLM-1352997366-tarjeta-de-regalo-netflix-500-_JM	509.15 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_885145-MLM48483886075_122021-O.jpg	00679628208244		Tarjeta De Regalo Netflix $500	merge
6	Tarjeta De Google Play $25	Tarjeta De Google Play $25 Bríndanos tu confianza Somos MercadoLíder GoldSomos SHOPGMHMas de 1 Año Vendiendo Tarjeta de Regalo Google Play por $25 pesosAl terminar tu compra te envió tu código para canjear.Todos nuestros códigos son digitales ya que somos proveedores.Recuerda después de recibir tu código confirmar que ya recibiste el producto en tu listado de compras en ML.El código se genera al momento de que realizaste la compra.Todos nuestros códigos están respaldados con un ticket el cual contiene la hora y la fecha en la que hiciste tu compra.Solo se vende 1 x 1.Lo invitamos a ver nuestro catalogo de productos	https://s.id/MLM-1532394309-tarjeta-de-google-play-25-_JM	79 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_676526-MLM51907688090_102022-O.jpg	00679628208251		Tarjeta De Google Play $25	merge
7	Tarjeta De Google Play $50	Tarjeta De Google Play $50 	https://s.id/MLM-1456854040-tarjeta-de-google-play-50-_JM	98.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_964869-MLM50681998554_072022-O.jpg	00679628208268		Tarjeta De Google Play $50	merge
8	Tarjeta De Google Play $75	Tarjeta De Google Play $75 	https://s.id/MLM-1456885817-tarjeta-de-google-play-75-_JM	125.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_901097-MLM50682051394_072022-O.jpg	00679628208275		Tarjeta De Google Play $75	merge
9	Saldo Google Play 100	Saldo Google Play 100 	https://s.id/MLM-902066114-saldo-google-play-100-_JM	151.2 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_645143-MLM45459585275_042021-O.jpg	00679628208282		Google Play	merge
10	Tarjeta De Regalo Google Play $200	Tarjeta De Regalo Google Play $200 	https://s.id/MLM-956227322-tarjeta-de-regalo-google-play-200-_JM	269.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_884851-MLM47031888524_082021-O.jpg	00679628208299		Tarjeta De Regalo Google Play $200	merge
11	Tarjeta De Regalo Google Play $300	Tarjeta De Regalo Google Play $300 Bríndanos tu confianza Somos MercadoLíder GoldSomos SHOPGMHMas de 1 Año vendiendo Tarjeta de Regalo Google Play por $300 pesosAl terminar tu compra te envió tu código para canjear.Todos nuestros códigos son digitales ya que somos proveedores.Recuerda después de recibir tu código confirmar que ya recibiste el producto en tu listado de compras en ML.El código se genera al momento de que realizaste la compra.Todos nuestros códigos están respaldados con un ticket el cual contiene la hora y la fecha en la que hiciste tu compra.Solo se vende 1 x 1.Lo invitamos a ver nuestro catalogo de productos	https://s.id/MLM-962959706-tarjeta-de-regalo-google-play-300-_JM	358.2 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_861051-MLM47233920671_082021-O.jpg	00679628208312		Tarjeta De Regalo Google Play $300	merge
12	Saldo Google Play $ 400	Saldo Google Play $ 400 SOMOS UNA EMPRESA ESTABLECIDA por mas de 12 años.Garantia por ser Mercado Lider Nota 1.SOLO se entregara su compra si paga con saldo mercado pago o mercado credito NO se le entregara si paga con Tarjeta Bancaria2.Por personas que hacen fraude se implemento la politica que al momento de hacer su compra tengra que hacernos llegar 1 identificacion para poder hacerle llegar su compra solicitada esto es para validar que el usuario de la cuenta este realzando la compra al menos la primera vez.3.Se estaran estregando 1 codigo de 400 o los importes se tengan disponible para poder cubrir el saldo solicitado .Laboramos de lunes a domingo de 7 a.m. a 11 de la noche fuera de ese horarios les estaremos enviando al dia siguiente lo mas pronto posibleJueves de 7 p.m. a 9 p.m. les estaremos enviando a partir de las 901 p.m.Sabado de 6 p.m. a 8 p.m. les estaremos enviando a partir de las 801 p.m.lo invitamos a visitar nuestro otros productosProcedimiento1. Haz tu compra.2. Entregamos el códi	https://s.id/MLM-1603747448-saldo-google-play-400-_JM	413.1 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_617309-MLM52364810739_112022-O.jpg	00679628208329		Saldo Google Play $ 400	merge
13	Tarjeta De Regalo Y/o Saldo Google Play $ 500	Tarjeta De Regalo Y/o Saldo Google Play $ 500 	https://s.id/MLM-869610348-tarjeta-de-regalo-yo-saldo-google-play-500-_JM	576.3 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_844798-MLM48896316492_012022-O.jpg	00679628208343		Tarjeta De Regalo Y/o Saldo Google Play $ 500	merge
